vivienda_id,area_construida_m2,altura_muro_m,n_banos,forma_terreno_ratio,tarrajeo_exterior,perimetro_m,area_muros_m2,cemento_bolsas_teorico,cemento_bolsas_real,cemento_bolsas_pct_desviacion,arena_gruesa_m3_teorico,arena_gruesa_m3_real,arena_gruesa_m3_pct_desviacion,arena_fina_m3_teorico,arena_fina_m3_real,arena_fina_m3_pct_desviacion,piedra_grande_m3_teorico,piedra_grande_m3_real,piedra_grande_m3_pct_desviacion,piedra_chancada_m3_teorico,piedra_chancada_m3_real,piedra_chancada_m3_pct_desviacion,acero_corrugado_kg_teorico,acero_corrugado_kg_real,acero_corrugado_kg_pct_desviacion,ladrillo_und_teorico,ladrillo_und_real,ladrillo_und_pct_desviacion
1,36.0,2.6,1,1.0,1,24.0,62.4,96.22,133.5,0.3874454375389732,8.48,6.8,-0.19811320754716988,1.8,1.87,0.038888888888888924,2.3,2.16,-0.06086956521739117,3.28,8.07,1.4603658536585369,346.68,534.6,0.5420560747663552,2858,2617.0,-0.08432470258922323
2,30.25,2.6,1,1.0,1,22.0,57.2,83.97,145.0,0.7268071930451352,7.55,6.5,-0.1390728476821192,1.65,4.0,1.4242424242424243,2.11,5.0,1.3696682464454977,2.78,4.0,0.43884892086330946,291.31,580.21,0.9917270261920292,2596,2902.0,0.11787365177195686
3,26.0,2.6,1,1.0,1,20.4,53.03,74.71,157.24,1.104671396064784,6.83,12.27,0.7964860907759882,1.53,2.47,0.6143790849673204,1.96,3.57,0.8214285714285714,2.41,12.58,4.219917012448133,250.38,564.69,1.2553318955188117,2390,2290.0,-0.04184100418410042
4,24.35,2.6,1,1.0,1,19.74,51.32,71.05,133.03,0.8723434201266714,6.55,11.47,0.7511450381679391,1.48,1.68,0.13513513513513511,1.89,3.31,0.7513227513227514,2.26,11.06,3.893805309734514,234.49,497.66,1.1223079875474433,2306,2100.0,-0.08933217692974849
5,35.0,2.6,1,1.0,1,23.66,61.53,94.11,293.49,2.1185846350015938,8.33,19.3,1.3169267707082835,1.77,5.68,2.2090395480225986,2.27,2.13,-0.06167400881057274,3.2,13.68,3.275,337.05,793.54,1.3543687880136477,2814,6045.0,1.14818763326226
6,96.0,2.6,2,2.0,1,41.57,108.08,221.88,428.16,0.9296917252568958,17.46,22.75,0.3029782359679266,3.36,5.86,0.7440476190476192,3.99,8.64,1.1654135338345866,8.51,16.7,0.962397179788484,924.48,1396.8,0.5109034267912772,5295,6221.0,0.1748819641170916
7,43.76,2.6,1,1.5,1,27.01,70.22,113.27,220.0,0.94226185221153,9.81,3.5,-0.6432212028542303,2.02,2.8,0.38613861386138604,2.59,3.0,0.15830115830115837,3.97,3.9,-0.017632241813602085,421.41,1095.0,1.5984195913718229,3243,2955.0,-0.08880666049953746
8,40.91,2.7,1,1.5,1,26.11,70.5,107.91,129.46,0.19970345658419064,9.37,9.11,-0.02774813233724651,2.03,4.26,1.0985221674876848,2.51,1.85,-0.2629482071713146,3.72,7.41,0.9919354838709676,393.96,415.2,0.053914102954614705,3231,3863.0,0.19560507582791706
9,35.0,2.6,1,1.0,1,23.66,61.53,94.11,293.49,2.1185846350015938,8.33,19.3,1.3169267707082835,1.77,5.68,2.2090395480225986,2.27,2.13,-0.06167400881057274,3.2,13.68,3.275,337.05,793.54,1.3543687880136477,2814,6045.0,1.14818763326226
10,68.4,2.6,2,1.5,1,33.76,87.79,166.16,232.8,0.40105922002888794,13.4,13.5,0.007462686567164152,2.78,3.95,0.42086330935251814,3.24,3.1,-0.04320987654320991,6.11,7.25,0.1865793780687397,658.69,923.4,0.40187341541544563,4232,4620.0,0.09168241965973535
11,84.5,2.6,2,2.0,1,39.0,101.4,199.83,374.8,0.8755942551168493,15.92,19.9,0.24999999999999992,3.17,5.15,0.6246056782334386,3.74,7.5,1.0053475935828875,7.51,14.8,0.9707057256990681,813.74,1220.0,0.4992503748125937,4925,5440.0,0.10456852791878173
12,75.0,2.6,2,2.0,1,36.74,95.53,181.38,335.5,0.8497077957878487,14.62,17.8,0.21751025991792078,3.0,4.6,0.5333333333333332,3.53,6.7,0.898016997167139,6.69,13.2,0.9730941704035873,722.25,1080.0,0.4953271028037383,4605,4850.0,0.053203040173724216
13,35.0,2.6,1,1.0,1,23.66,61.53,94.11,156.8,0.6661353734990969,8.33,8.2,-0.015606242496998893,1.77,2.18,0.23163841807909613,2.27,3.1,0.3656387665198238,3.2,6.15,0.921875,337.05,515.0,0.5279632102062009,2814,2420.0,-0.14001421464108033
14,70.0,2.6,2,1.5,1,34.16,88.81,169.29,309.4,0.8276330557032311,13.62,16.45,0.2077826725403818,2.81,4.2,0.49466192170818507,3.28,6.16,0.878048780487805,6.25,12.04,0.9263999999999999,674.1,1011.5,0.5005192107995846,4288,4480.0,0.04477611940298507
15,65.0,2.6,2,1.5,1,32.91,85.58,159.48,289.9,0.8177827940807625,12.92,15.47,0.19736842105263164,2.71,3.97,0.46494464944649455,3.16,5.85,0.8512658227848099,5.81,11.38,0.9586919104991397,625.95,942.5,0.5057113187954309,4113,4173.0,0.014587892049598834
16,54.0,2.6,1,1.5,1,30.0,78.0,134.11,241.92,0.8038923271940941,11.35,12.91,0.1374449339207049,2.25,3.29,0.46222222222222226,2.88,4.91,0.7048611111111113,4.86,9.45,0.9444444444444442,520.02,785.7,0.5109034267912774,3648,3456.0,-0.05263157894736842
17,82.83,2.6,2,2.0,1,38.61,100.39,196.6,367.77,0.8706510681586979,15.7,19.55,0.24522292993630584,3.14,4.97,0.5828025477707005,3.71,7.37,0.986522911051213,7.37,14.33,0.9443690637720489,797.65,1199.38,0.503641948222905,4870,5293.0,0.08685831622176592
18,45.0,2.6,1,1.5,1,27.39,71.2,115.82,202.5,0.7484026938352617,10.0,10.8,0.08000000000000007,2.05,2.79,0.3609756097560977,2.63,4.14,0.5741444866920151,4.08,7.92,0.9411764705882353,433.35,657.0,0.5160955347871234,3294,2903.0,-0.11870066788099574
19,56.0,2.6,1,1.5,1,30.55,79.43,138.12,249.76,0.8082826527657109,11.64,13.27,0.1400343642611683,2.29,3.42,0.4934497816593886,2.93,5.4,0.8430034129692833,5.03,9.74,0.9363817097415507,539.28,814.8,0.5109034267912772,3723,3629.0,-0.025248455546602204
20,80.0,2.6,2,2.0,1,37.95,98.66,191.12,356.8,0.8668899120971117,15.31,18.96,0.23840627041149576,3.09,4.88,0.5792880258899676,3.64,7.2,0.978021978021978,7.13,13.92,0.9523141654978963,770.4,1164.0,0.5109034267912773,4775,5184.0,0.0856544502617801
21,72.0,2.6,2,2.0,1,36.0,93.6,175.5,321.12,0.8297435897435897,14.21,17.06,0.20056298381421517,2.95,4.39,0.4881355932203388,3.46,6.48,0.8728323699421967,6.43,12.53,0.9486780715396579,693.36,1047.6,0.5109034267912771,4501,4666.0,0.03665852032881582
22,60.0,2.6,1,1.5,1,31.62,82.22,146.1,267.6,0.831622176591376,12.21,14.22,0.1646191646191646,2.37,3.66,0.5443037974683544,3.04,5.4,0.7763157894736843,5.38,10.44,0.9405204460966542,577.8,873.0,0.5109034267912774,3871,3888.0,0.004391630069749419
23,90.0,2.6,2,2.0,1,40.25,104.65,210.41,401.4,0.9077040064635711,16.66,21.33,0.28031212484993984,3.26,5.49,0.6840490797546014,3.86,8.1,1.0984455958549224,7.99,15.66,0.9599499374217771,866.7,1309.5,0.5109034267912772,5104,5832.0,0.1426332288401254
24,64.0,2.6,2,1.5,1,32.66,84.92,157.51,285.44,0.8122023998476288,12.78,15.17,0.18701095461658848,2.7,3.9,0.4444444444444443,3.14,5.76,0.8343949044585985,5.73,11.14,0.944153577661431,616.32,931.2,0.5109034267912772,4078,4147.0,0.016920058852378617
25,65.0,2.6,2,1.5,1,32.91,85.58,159.48,289.9,0.8177827940807625,12.92,15.4,0.19195046439628485,2.71,3.96,0.4612546125461255,3.16,5.85,0.8512658227848099,5.81,11.31,0.9466437177280553,625.95,945.75,0.5109034267912772,4113,4212.0,0.024070021881838075
26,48.0,2.6,1,1.5,1,28.28,73.54,121.96,149.4,0.22499180059035762,10.46,12.46,0.19120458891013384,2.12,2.4,0.1320754716981131,2.72,3.68,0.3529411764705882,4.34,5.59,0.28801843317972353,462.24,519.6,0.12409138110072693,3415,2433.0,-0.28755490483162516
27,70.0,2.6,2,1.5,1,34.16,88.81,169.29,219.6,0.29718234981392877,13.62,19.27,0.4148311306901616,2.81,3.3,0.17437722419928817,3.28,6.22,0.8963414634146342,6.25,7.44,0.19040000000000007,674.1,680.0,0.008752410621569466,4288,3898.0,-0.09095149253731344
28,42.0,2.6,1,1.5,1,26.46,68.79,109.63,187.32,0.7086563896743592,9.54,9.95,0.04297693920335432,1.98,2.56,0.292929292929293,2.54,3.78,0.48818897637795267,3.81,7.31,0.9186351706036744,404.46,611.1,0.5109034267912774,3170,2722.0,-0.14132492113564668
29,58.0,2.6,1,1.0,1,30.46,79.2,141.05,258.68,0.8339595887982983,11.78,13.75,0.16723259762309003,2.28,3.54,0.5526315789473686,2.92,5.22,0.7876712328767123,5.2,10.09,0.9403846153846153,558.54,843.9,0.5109034267912773,3731,3758.0,0.007236665773251139
30,100.0,2.6,2,2.0,1,42.43,110.31,229.49,446.0,0.9434398012985314,17.99,23.7,0.31739855475264045,3.43,6.1,0.7784256559766762,4.07,9.0,1.2113022113022112,8.85,17.4,0.9661016949152541,963.0,1455.0,0.5109034267912772,5420,6480.0,0.19557195571955718
31,36.0,2.6,1,1.0,0,24.0,62.4,83.24,115.44,0.38683325324363294,8.48,6.8,-0.19811320754716988,0.05,0.2,3.0000000000000004,2.3,2.16,-0.06086956521739117,3.28,8.07,1.4603658536585369,346.68,534.6,0.5420560747663552,2858,2617.0,-0.08432470258922323
32,30.25,2.6,1,1.0,0,22.0,57.2,72.08,125.39,0.7395948945615983,7.55,6.5,-0.1390728476821192,0.05,0.12,1.3999999999999997,2.11,5.0,1.3696682464454977,2.78,4.0,0.43884892086330946,291.31,580.21,0.9917270261920292,2596,2902.0,0.11787365177195686
33,26.0,2.6,1,1.0,0,20.4,53.03,63.68,135.97,1.1352072864321607,6.83,12.27,0.7964860907759882,0.05,0.18,2.6,1.96,3.57,0.8214285714285714,2.41,12.58,4.219917012448133,250.38,564.69,1.2553318955188117,2390,2290.0,-0.04184100418410042
34,24.35,2.6,1,1.0,0,19.74,51.32,60.38,115.04,0.9052666445842995,6.55,11.47,0.7511450381679391,0.05,0.16,2.1999999999999997,1.89,3.31,0.7513227513227514,2.26,11.06,3.893805309734514,234.49,497.66,1.1223079875474433,2306,2100.0,-0.08933217692974849
35,35.0,2.6,1,1.0,0,23.66,61.53,81.31,253.79,2.1212642971344238,8.33,19.3,1.3169267707082835,0.05,0.16,2.1999999999999997,2.27,2.13,-0.06167400881057274,3.2,13.68,3.275,337.05,793.54,1.3543687880136477,2814,6045.0,1.14818763326226
36,96.0,2.6,2,2.0,0,41.57,108.08,199.4,370.24,0.8567703109327984,17.46,22.75,0.3029782359679266,0.3,0.53,0.7666666666666668,3.99,8.64,1.1654135338345866,8.51,16.7,0.962397179788484,924.48,1396.8,0.5109034267912772,5295,6221.0,0.1748819641170916
